,area_string,posted,neighborhood,post title,number bedrooms,sqft,URL,price
0,sfbay,2021-10-16 08:52, (sunnyvale),Sunnyvale Prívate Room,2,980.0,https://sfbay.craigslist.org/sby/roo/d/sunnyvale-sunnyvale-prvate-room/7394918910.html,990
1,sfbay,2021-10-16 08:52, (USF / panhandle),"Private Room in Bright Remodeled apt, 1 block to USF",2,,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-private-room-in-bright/7394918678.html,1300
2,sfbay,2021-10-16 08:50, (san jose south),Furnished master bedroom available now,1,277.0,https://sfbay.craigslist.org/sby/roo/d/san-jose-furnished-master-bedroom/7394917446.html,1000
3,sfbay,2021-10-16 08:46, (santa rosa),Rooms shared-$750(2 people per room) OR $1100 single room,,,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-rooms-shared-7502-people-per/7387221189.html,0
4,sfbay,2021-10-16 08:46, (santa rosa),SharedRooms $750 a person (2 people per room) OR -$1100 for single,,,https://sfbay.craigslist.org/nby/roo/d/santa-rosa-sharedrooms-750-person/7387221800.html,0
5,sfbay,2021-10-16 08:40, (inner sunset / UCSF),"boarding style room 4 busy, quiet person w/ parking spot for addl cost",1,,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-boarding-style-room-busy/7393852693.html,950
6,sfbay,2021-10-16 08:38, (excelsior / outer mission),Cozy Single Room located by BART,1,,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-cozy-single-room-located/7391409482.html,750
7,sfbay,2021-10-16 08:37, (excelsior / outer mission),Single Room located by Balboa Park Station!,1,,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-single-room-located-by/7393309212.html,850
8,sfbay,2021-10-16 08:37, (sunset / parkside),Single room ideal for college students 亁凈温暖房间,,,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-single-room-ideal-for/7387565048.html,750
9,sfbay,2021-10-16 08:33, (fremont / union city / newark),ROOM FOR RENT FREMONT’ female shared bathroom.  $950,,,https://sfbay.craigslist.org/eby/roo/d/fremont-room-for-rent-fremont-female/7388948098.html,950
10,sfbay,2021-10-16 08:31, (campbell),"$1850 Master Bedroom, Private Bath, in Quiet Secure Apt (Campbell)",2,1173.0,https://sfbay.craigslist.org/sby/roo/d/campbell-1850-master-bedroom-private/7391896440.html,1850
11,sfbay,2021-10-16 08:31, (milpitas),Room in a house- Milpitas/ Fremont Border- Warm Springs,,,https://sfbay.craigslist.org/sby/roo/d/milpitas-room-in-house-milpitas-fremont/7392568701.html,850
12,sfbay,2021-10-16 08:31, (sunnyvale),Room in a house- Close to Mathilda and Maude Ave,,,https://sfbay.craigslist.org/sby/roo/d/sunnyvale-room-in-house-close-to/7392568934.html,975
13,sfbay,2021-10-16 08:31, (castro / upper market),Close to Downtown very Large bedroom in Duboce triangle,,,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-close-to-downtown-very/7394890008.html,1495
14,sfbay,2021-10-16 08:29, (mountain view),Room Available 11/01,3,,https://sfbay.craigslist.org/sby/roo/d/mountain-view-room-available-11-01/7387902149.html,1200
15,sfbay,2021-10-16 08:29, (mountain view),Available 11/1/2021,,,https://sfbay.craigslist.org/pen/roo/d/mountain-view-available/7387900467.html,1200
16,sfbay,2021-10-16 08:28," (hercules, pinole, san pablo, el sob)",1 Furnished bedroom for rent,1,,https://sfbay.craigslist.org/eby/roo/d/pinole-furnished-bedroom-for-rent/7394898304.html,700
17,sfbay,2021-10-16 08:28, (foster city),Great Furnished Room Includes Utilities!,,,https://sfbay.craigslist.org/pen/roo/d/san-mateo-great-furnished-room-includes/7384715749.html,1125
18,sfbay,2021-10-16 08:26, (danville / san ramon),"Spacious Private Bedroom in Large House for Rent, Furnished",1,150.0,https://sfbay.craigslist.org/eby/roo/d/san-ramon-spacious-private-bedroom-in/7386546737.html,1250
19,sfbay,2021-10-16 08:25, (dublin / pleasanton / livermore),Charming bedroom with nice furnitures.,,160.0,https://sfbay.craigslist.org/eby/roo/d/dublin-charming-bedroom-with-nice/7385805884.html,1200
20,sfbay,2021-10-16 08:25, (fairfax),"Studio w/ private entance and bathroom, No cooking",,,https://sfbay.craigslist.org/nby/roo/d/fairfax-studio-private-entance-and/7394895561.html,1000
21,sfbay,2021-10-16 08:25, (santa clara),Studio near SCU,1,,https://sfbay.craigslist.org/sby/roo/d/santa-clara-studio-near-scu/7394903363.html,1300
22,sfbay,2021-10-16 08:25, (san jose west),Single room for rent near Apple,,110.0,https://sfbay.craigslist.org/sby/roo/d/santa-clara-single-room-for-rent-near/7392609860.html,790
23,sfbay,2021-10-16 08:25," (hercules, pinole, san pablo, el sob)",1 Furnished bedroom for rent,1,,https://sfbay.craigslist.org/eby/roo/d/pinole-furnished-bedroom-for-rent/7394898435.html,700
24,sfbay,2021-10-16 08:24, (concord / pleasant hill / martinez),Available And Affordable Furnished Master Bedroom Suite Plus Closet,,,https://sfbay.craigslist.org/eby/roo/d/concord-available-and-affordable/7390561821.html,400
25,sfbay,2021-10-16 08:24, (oakland west),Sunny BDR in Sharp Flat,,,https://sfbay.craigslist.org/eby/roo/d/oakland-sunny-bdr-in-sharp-flat/7394902947.html,1200
26,sfbay,2021-10-16 08:23, (hayward / castro valley),Rent master 主卧bedroom $980,,120.0,https://sfbay.craigslist.org/eby/roo/d/hayward-rent-master-bedroom-980/7393872208.html,900
27,sfbay,2021-10-16 08:13, (campbell south bay area ),Great room for rent,1,164.0,https://sfbay.craigslist.org/sby/roo/d/campbell-great-room-for-rent/7394884704.html,699
28,sfbay,2021-10-16 08:09, (concord / pleasant hill / martinez),Furnished room in My Concord Home for NON-Smoking Male,,120.0,https://sfbay.craigslist.org/eby/roo/d/concord-furnished-room-in-my-concord/7388946755.html,875
29,sfbay,2021-10-16 08:08, (mission district),🍎🍎🍎New Studio with Parking & Storage W/D AC Mission 16th St BART,1,400.0,https://sfbay.craigslist.org/sfc/roo/d/san-francisco-new-studio-with-parking/7394894390.html,2495
