index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price
0,chicago,2021-11-09 17:04, (Avondale city of chicago ),Intentional Community Looking for New Member!,7,,https://chicago.craigslist.org/chc/roo/d/chicago-intentional-community-looking/7405811268.html,550
1,chicago,2021-11-09 16:43, (87th/Halsted south chicagoland ),NBS Open minded male roommate wanted-,5,,https://chicago.craigslist.org/sox/roo/d/chicago-nbs-open-minded-male-roommate/7403589397.html,600
2,chicago,2021-11-09 16:14," (Portage, Indiana northwest indiana )",Room to rent in shared house,,,https://chicago.craigslist.org/nwi/roo/d/portage-room-to-rent-in-shared-house/7405798870.html,500
3,chicago,2021-11-09 16:10," (Chicago, IL city of chicago )",$650 / 3br - Private bed room (Chicago),1,,https://chicago.craigslist.org/chc/roo/d/chicago-650-3br-private-bed-room-chicago/7405796997.html,650
4,chicago,2021-11-09 15:38, (Lincoln Park city of chicago ),Private Room for rent in townhouse ALL Utilities INCLUDED!,1,,https://chicago.craigslist.org/chc/roo/d/chicago-private-room-for-rent-in/7401584945.html,1200
5,chicago,2021-11-09 15:12," (N Lincoln Ave & W Grace St Chicago, IL 60613 city of chicago )",Short Term ok -- 2bed/1ba North Center/Roscoe Village/West Lakeview,1,,https://chicago.craigslist.org/chc/roo/d/chicago-short-term-ok-2bed-1ba-north/7402064508.html,400
6,chicago,2021-11-09 15:03, (Chicago city of chicago ),Room in Humboldt Park,,,https://chicago.craigslist.org/chc/roo/d/chicago-room-in-humboldt-park/7405756941.html,350
7,chicago,2021-11-09 15:01, (Elmwood Park city of chicago ),Room Available for $375,4,120.0,https://chicago.craigslist.org/chc/roo/d/elmwood-park-room-available-for-375/7405761728.html,375
8,chicago,2021-11-09 14:59," (Pilsen, Chicago city of chicago )",room for rent- female,2,,https://chicago.craigslist.org/chc/roo/d/chicago-room-for-rent-female/7405761162.html,500
9,chicago,2021-11-09 14:43, (Chicago (Logan Square) city of chicago ),"Large bedroom available in 3 bed, 2 bath apt - Logan Square, Chicago",3,,https://chicago.craigslist.org/chc/roo/d/chicago-large-bedroom-available-in-bed/7405753172.html,995
10,chicago,2021-11-09 14:34, (Aurora west chicagoland ),Room to rent,3,,https://chicago.craigslist.org/wcl/roo/d/aurora-room-to-rent/7405728759.html,600
11,chicago,2021-11-09 14:21, (Highland Park/near Highwood north chicagoland ),House to Share,,,https://chicago.craigslist.org/nch/roo/d/highland-park-house-to-share/7397640785.html,850
12,chicago,2021-11-09 14:11, (Lakeview north chicagoland ),Weekend stay in beautiful Lakeview,1,300.0,https://chicago.craigslist.org/nch/roo/d/chicago-weekend-stay-in-beautiful/7405737090.html,75
13,chicago,2021-11-09 13:57, (Bucktown city of chicago ),3 bedroom. Short term Furnished in Bucktown. Laundry and AC!!,3,1300.0,https://chicago.craigslist.org/chc/roo/d/chicago-bedroom-short-term-furnished-in/7404825046.html,950
14,chicago,2021-11-09 13:01," (Addison ,Il northwest suburbs )",Room Wanted;Share  3 Bed Excellent,3,1000.0,https://chicago.craigslist.org/nwc/roo/d/addison-room-wantedshare-bed-excellent/7401861115.html,650
15,chicago,2021-11-09 12:55, (Lake in the Hills northwest suburbs ),Room and shared bath for rent in shared house,1,,https://chicago.craigslist.org/nwc/roo/d/lake-in-the-hills-room-and-shared-bath/7394247385.html,850
16,chicago,2021-11-09 12:49, (Medical District city of chicago ),Private Bedroom near Downtown,3,,https://chicago.craigslist.org/chc/roo/d/chicago-private-bedroom-near-downtown/7405659103.html,750
17,chicago,2021-11-09 12:26, (CARPENTERSVILLE northwest suburbs ),1 ROOMATE WANTED TO SHARE BEAUTIFUL 5 BEDROOM HOME!,5,,https://chicago.craigslist.org/nwc/roo/d/carpentersville-roomate-wanted-to-share/7405680060.html,740
18,chicago,2021-11-09 12:22, (Roscoe Village city of chicago ),3rd needed for Roscoe Village Duplex DEC 1 $680+ utilities,,2100.0,https://chicago.craigslist.org/chc/roo/d/chicago-3rd-needed-for-roscoe-village/7405678067.html,680
19,chicago,2021-11-09 12:15, (Morton Grove northwest suburbs ),Roommate wanted 2 BDRM apt,2,,https://chicago.craigslist.org/nwc/roo/d/morton-grove-roommate-wanted-bdrm-apt/7405673864.html,775
20,chicago,2021-11-09 12:01, (Edgewater city of chicago ),room in 3 bedroom apartment available for sublease Jan 1 - Mar 31,,,https://chicago.craigslist.org/chc/roo/d/chicago-room-in-bedroom-apartment/7405665697.html,875
21,chicago,2021-11-09 11:51, (Lawrence  Y Central Park city of chicago ),comparto espacio con persona responsable y sin visios,,,https://chicago.craigslist.org/chc/roo/d/chicago-comparto-espacio-con-persona/7392450958.html,400
22,chicago,2021-11-09 11:37, (chicago west chicagoland ),Amazing offer 1 bedroom in a 2 br house util inclu cab int 11/27,2,1200.0,https://chicago.craigslist.org/wcl/roo/d/chicago-amazing-offer-bedroom-in-2-br/7398928279.html,800
23,chicago,2021-11-09 11:37, (chicago south chicagoland ),Amazing offer 1 bedroom in a 2 br house util inclu cab int 11/27,2,1200.0,https://chicago.craigslist.org/sox/roo/d/chicago-amazing-offer-bedroom-in-2-br/7398919132.html,800
24,chicago,2021-11-09 11:35, (Griffith northwest indiana ),roommate needed,2,,https://chicago.craigslist.org/nwi/roo/d/griffith-roommate-needed/7405622189.html,550
25,chicago,2021-11-09 11:29," (4014 N Spaulding Ave, Chicago city of chicago )",Furnished 1 bed / 1 bath ground floor apartment in Irving Park!,1,,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-bed-bath-ground-floor/7405629980.html,700
26,chicago,2021-11-09 10:47, (Naperville west chicagoland ),Seeking Professional Roommate,5,,https://chicago.craigslist.org/wcl/roo/d/naperville-seeking-professional-roommate/7401703369.html,735
27,chicago,2021-11-09 10:42, (chicago old irving city of chicago ),roommate wanted 3 bedroom apt,3,1299.0,https://chicago.craigslist.org/chc/roo/d/chicago-roommate-wanted-bedroom-apt/7403573271.html,750
28,chicago,2021-11-09 10:22, (West Chicago west chicagoland ),Private furnished room for female,2,,https://chicago.craigslist.org/wcl/roo/d/winfield-private-furnished-room-for/7405598585.html,500
29,chicago,2021-11-09 10:19, (South Shore city of chicago ),Weekly Bungalow Bedroom,1,,https://chicago.craigslist.org/chc/roo/d/chicago-weekly-bungalow-bedroom/7405598748.html,300
30,chicago,2021-11-09 10:18," (Chicago, IL city of chicago )",Gorgeous 1 bedroom with both lake and city views!,1,,https://chicago.craigslist.org/chc/roo/d/chicago-gorgeous-bedroom-with-both-lake/7399796247.html,1250
31,chicago,2021-11-09 10:17," (Chicago, IL city of chicago )",Gorgeous 1 bedroom with both lake and city views!,1,,https://chicago.craigslist.org/chc/roo/d/chicago-gorgeous-bedroom-with-both-lake/7399798586.html,1250
32,chicago,2021-11-09 09:38, (portage northwest indiana ),Weekly rate of $385.00 one room left!!,1,,https://chicago.craigslist.org/nwi/roo/d/portage-weekly-rate-of-one-room-left/7405582914.html,55
33,chicago,2021-11-09 09:38, (portage northwest indiana ),Monthly Rate $1500.00,1,,https://chicago.craigslist.org/nwi/roo/d/portage-monthly-rate/7405582806.html,50
34,chicago,2021-11-09 09:34, (Schaumburg city of chicago ),Rich divorced father seeks longterm housewife homemaker,2,,https://chicago.craigslist.org/chc/roo/d/itasca-rich-divorced-father-seeks/7405580808.html,0
35,chicago,2021-11-09 09:21, (Lincoln Park city of chicago ),Housemate/Suite Bedroom with Bath/ Utilities Included,,,https://chicago.craigslist.org/chc/roo/d/chicago-housemate-suite-bedroom-with/7398900080.html,1250
36,chicago,2021-11-09 09:19, (Arlington Heights northwest suburbs ),Room for rent in house near Metra!,,,https://chicago.craigslist.org/nwc/roo/d/arlington-heights-room-for-rent-in/7401207652.html,0
37,chicago,2021-11-09 08:40, (downers grove west chicagoland ),Ready Quiet Furnished Private Bedroom Next to Train,2,,https://chicago.craigslist.org/wcl/roo/d/downers-grove-ready-quiet-furnished/7404181071.html,695
38,chicago,2021-11-09 08:33, (South Elgin northwest suburbs ),Basement Apartment,1,,https://chicago.craigslist.org/nwc/roo/d/south-elgin-basement-apartment/7405551331.html,850
39,chicago,2021-11-09 08:20, (Chicago city of chicago ),1 large and 1 small bedroom steps from UIC,,,https://chicago.craigslist.org/chc/roo/d/chicago-large-and-small-bedroom-steps/7402176083.html,450
40,chicago,2021-11-09 07:55, (Rogers Park city of chicago ),Seeking Roommate,1,,https://chicago.craigslist.org/chc/roo/d/chicago-seeking-roommate/7405536145.html,850
41,chicago,2021-11-09 07:20, (Chicago city of chicago ),Looking for roommate-walk to brown line,1,,https://chicago.craigslist.org/chc/roo/d/chicago-looking-for-roommate-walk-to/7405525317.html,675
42,chicago,2021-11-09 07:19, (near Kennedy King college south chicagoland ),rent rooms by week by 67th Halsted,6,,https://chicago.craigslist.org/sox/roo/d/riverdale-rent-rooms-by-week-by-67th/7405525192.html,175
43,chicago,2021-11-09 07:17, ( city of chicago ),Master bedroom w/ patio access + private bath in townhouse,4,1748.0,https://chicago.craigslist.org/chc/roo/d/elk-grove-village-master-bedroom-patio/7402953062.html,415
44,chicago,2021-11-09 07:00, (Elgin city of chicago ),Apartment Alternative 1br Studio Woodspring Suites Elgin. 1st Nt Free!,1,,https://chicago.craigslist.org/chc/roo/d/elgin-apartment-alternative-1br-studio/7405519487.html,1099
45,chicago,2021-11-09 01:28, (Evanston north chicagoland ),Large bedrooms in furnished apt near Northwestern University!,1,,https://chicago.craigslist.org/nch/roo/d/evanston-large-bedrooms-in-furnished/7396250458.html,750
46,chicago,2021-11-09 00:47, (Logan Square city of chicago ),REDUCED ROOM RENT NEW UPDATW: WIFI/UTILITIES INCLUDED,,1200.0,https://chicago.craigslist.org/chc/roo/d/chicago-reduced-room-rent-new-updatw/7405481691.html,430
47,chicago,2021-11-08 22:37, (Chicago city of chicago ),Roommate ($810 all include- inter/gas/elec) Fully Furnace,2,1200.0,https://chicago.craigslist.org/chc/roo/d/chicago-roommate-810-all-include-inter/7405452046.html,725
48,chicago,2021-11-08 22:24, (kankakee south chicagoland ),Large Furnished Bedroom in 1905 Home,,,https://chicago.craigslist.org/sox/roo/d/large-furnished-bedroom-in-1905-home/7405462297.html,550
49,chicago,2021-11-08 21:27, (Bucktown city of chicago ),Bucktown Gem! 1 bedroom rental in house,1,3500.0,https://chicago.craigslist.org/chc/roo/d/chicago-bucktown-gem-bedroom-rental-in/7404499650.html,1975
50,chicago,2021-11-08 20:36, (WOOD DALE northwest suburbs ),ROOM,,,https://chicago.craigslist.org/nwc/roo/d/wood-dale-room/7399340190.html,550
51,chicago,2021-11-08 20:02, (Chicago city of chicago ),"Beautiful Home, Great Community - 2bd, 2 bath Share",2,,https://chicago.craigslist.org/chc/roo/d/chicago-beautiful-home-great-community/7405428958.html,750
52,chicago,2021-11-08 19:27, (Evanston north chicagoland ),Sublet Needed! Private Bedroom/Bathroom,1,,https://chicago.craigslist.org/nch/roo/d/evanston-sublet-needed-private-bedroom/7401635196.html,1000
53,chicago,2021-11-08 19:16, (Andersonville city of chicago ),Andersonville apartment,3,,https://chicago.craigslist.org/chc/roo/d/chicago-andersonville-apartment/7400082247.html,766
54,chicago,2021-11-08 18:27, (Naperville-Lisle west chicagoland ),Shared Furnished Home w/bed&bath,4,3200.0,https://chicago.craigslist.org/wcl/roo/d/shared-furnished-home-bedbath/7397249826.html,1000
55,chicago,2021-11-08 18:19, (Avondale by Logan Square city of chicago ),2954 W Fletcher st. Private Room for Rent in a Luxury Duplex Condo,5,150.0,https://chicago.craigslist.org/chc/roo/d/chicago-2954-fletcher-st-private-room/7402315928.html,777
56,chicago,2021-11-08 17:31, (Near West End/West Loop/United Center/UIC-RUSH-Medi District city of chicago ),Large Furnished Luxury 3 Bdrm/2 Bath 1600 SqFt: Shared Housing,3,1600.0,https://chicago.craigslist.org/chc/roo/d/chicago-large-furnished-luxury-bdrm/7403179927.html,950
57,chicago,2021-11-08 17:16, (Ashland/Diversey city of chicago ),"Furnished incl utils, month to month",,,https://chicago.craigslist.org/chc/roo/d/chicago-furnished-incl-utils-month-to/7405370925.html,795
58,chicago,2021-11-08 17:13, (Nw Chicago / Norridge north chicagoland ),Beautiful Basement Studio ALL Utilities Incl For Quiet Mature Over 50,,,https://chicago.craigslist.org/nch/roo/d/chicago-beautiful-basement-studio-all/7401291282.html,675
59,chicago,2021-11-08 16:55, (Lincolnshire north chicagoland ),Lincolnshire Room Rental (Shared Bath) $770,,,https://chicago.craigslist.org/nch/roo/d/lincolnshire-lincolnshire-room-rental/7403325990.html,770
60,chicago,2021-11-08 16:55, (Northbrook north chicagoland ),Northbrook/Deerfield Room for Rent ($770),,,https://chicago.craigslist.org/nch/roo/d/deerfield-northbrook-deerfield-room-for/7403320908.html,770
61,chicago,2021-11-08 16:54, (West Town / Wicker Park city of chicago ),Large Room for Rent,,,https://chicago.craigslist.org/chc/roo/d/chicago-large-room-for-rent/7400266189.html,965
62,chicago,2021-11-08 16:17, (Lake Forest north chicagoland ),Private Room In Beautiful Area!,,,https://chicago.craigslist.org/nch/roo/d/lake-forest-private-room-in-beautiful/7401534914.html,875
63,chicago,2021-11-08 16:16, (Lake Forest Illinois north chicagoland ),"Room For Rent includes WiFi, utilities and parking",1,,https://chicago.craigslist.org/nch/roo/d/lake-forest-room-for-rent-includes-wifi/7394003135.html,975
64,chicago,2021-11-08 15:39, (HUMBOLDT PARK EAST city of chicago ),ROOM AVAILABLE - EAST HUMBOLDT PARK,,,https://chicago.craigslist.org/chc/roo/d/chicago-room-available-east-humboldt/7405326078.html,675
65,chicago,2021-11-08 15:38, (West Town city of chicago ),Large Room Available!,3,121.0,https://chicago.craigslist.org/chc/roo/d/chicago-large-room-available/7405307460.html,800
66,chicago,2021-11-08 15:20, (Rogers Park city of chicago ),Rogers Park Room for Rent in Beautiful 4-Bedroom Apt,,,https://chicago.craigslist.org/chc/roo/d/chicago-rogers-park-room-for-rent-in/7399839922.html,0
67,chicago,2021-11-08 15:12, (Hammond northwest indiana ),"Shared Apartment (Own Bedroom, Bath and Living Room)",1,1200.0,https://chicago.craigslist.org/nwi/roo/d/hammond-shared-apartment-own-bedroom/7405312272.html,700
68,chicago,2021-11-08 15:08, (Devon near Lincolnwood north chicagoland ),Room for rent,2,,https://chicago.craigslist.org/nch/roo/d/chicago-room-for-rent/7405310350.html,650
69,chicago,2021-11-08 14:49, (humbolt city of chicago ),need roommate by dec 1st,3,1500.0,https://chicago.craigslist.org/chc/roo/d/chicago-need-roommate-by-dec-1st/7405289235.html,666
70,chicago,2021-11-08 14:40, (Evanston north chicagoland ),"Artistic space, female preferred, quiet, safe, no partying, 3 cats",4,150.0,https://chicago.craigslist.org/nch/roo/d/evanston-artistic-space-female/7405295464.html,650
71,chicago,2021-11-08 14:13, (Willowbrook west chicagoland ),Room for rent 3 miles from Argonne National Laboratory,,,https://chicago.craigslist.org/wcl/roo/d/willowbrook-room-for-rent-miles-from/7405280444.html,750
72,chicago,2021-11-08 14:00, (CHICAGO city of chicago ),Collaborative Housing Offered - Praxis Collaborative Chicago,,10000.0,https://chicago.craigslist.org/chc/roo/d/chicago-collaborative-housing-offered/7405273201.html,650
73,chicago,2021-11-08 13:56, (Lakeview city of chicago ),1 room in a 3 bedroom in Lakeview/Boystown,3,1000.0,https://chicago.craigslist.org/chc/roo/d/chicago-room-in-3-bedroom-in-lakeview/7396679567.html,700
74,chicago,2021-11-08 13:51, (North Chicago north chicagoland ),Roommate needed ASAP,,,https://chicago.craigslist.org/nch/roo/d/north-chicago-roommate-needed-asap/7400373318.html,485
75,chicago,2021-11-08 13:47, (Lincoln Square city of chicago ),Big unfurnished private room in a lovely 2 beds unit.,2,,https://chicago.craigslist.org/chc/roo/d/chicago-big-unfurnished-private-room-in/7402072125.html,675
76,chicago,2021-11-08 13:47, (Lincoln Square city of chicago ),Big unfurnished private room in a lovely 2 beds unit.,2,,https://chicago.craigslist.org/chc/roo/d/chicago-big-unfurnished-private-room-in/7402071108.html,675
77,chicago,2021-11-08 13:43, (Chicago Lawn city of chicago ),Room Available Now,,,https://chicago.craigslist.org/chc/roo/d/chicago-room-available-now/7405215031.html,550
78,chicago,2021-11-08 13:12," (2011 Green Bay Rd Apartments North Chicago, IL north chicagoland )",$725 / 1br - Large 18x14 SF Master Bedroom,,,https://chicago.craigslist.org/nch/roo/d/north-chicago-725-1br-large-18x14-sf/7402162364.html,0
79,chicago,2021-11-08 12:48, (Lincoln Park city of chicago ),Private Room for rent in townhouse ALL Utilities INCLUDED!,1,,https://chicago.craigslist.org/chc/roo/d/chicago-private-room-for-rent-in/7396416709.html,1200
80,chicago,2021-11-08 12:47, (Edgewater north chicagoland ),Roommate Wanted! Utilities and Wi-Fi Included!,,,https://chicago.craigslist.org/nch/roo/d/chicago-roommate-wanted-utilities-and/7405231711.html,800
81,chicago,2021-11-08 12:36, ( city of chicago ),"Large master bedroom, private bath & entrance",,,https://chicago.craigslist.org/chc/roo/d/elk-grove-village-large-master-bedroom/7405219235.html,345
82,chicago,2021-11-08 12:36, (Chicago city of chicago ),One Bedroom Available,3,1400.0,https://chicago.craigslist.org/chc/roo/d/chicago-one-bedroom-available/7403108314.html,725
83,chicago,2021-11-08 12:31, (Irving Park city of chicago ),Irving Park: room,,,https://chicago.craigslist.org/chc/roo/d/chicago-irving-park-room/7405219850.html,550
84,chicago,2021-11-08 12:21, (Lake Forest north chicagoland ),"Lake Forest House share, bedroom available, Inc. Utilities!",,,https://chicago.craigslist.org/nch/roo/d/lake-forest-lake-forest-house-share/7405216319.html,800
85,chicago,2021-11-08 11:59, (Bolingbrook south chicagoland ),BOLINGBROOK ROOM FOR RENT WEST OF WEBER,,,https://chicago.craigslist.org/sox/roo/d/bolingbrook-bolingbrook-room-for-rent/7405202115.html,775
86,chicago,2021-11-08 11:38, (Nw Chicago / Norridge north chicagoland ),Beautiful Basement Studio ALL Utilities Incl For Quiet Mature Over 50,,,https://chicago.craigslist.org/nch/roo/d/chicago-beautiful-basement-studio-all/7398649992.html,675
87,chicago,2021-11-08 11:35, (Logan Square city of chicago ),Dude and dog seek roomie,3,,https://chicago.craigslist.org/chc/roo/d/chicago-dude-and-dog-seek-roomie/7393538207.html,700
88,chicago,2021-11-08 11:29, (Chicago Lawn city of chicago ),Room Available Now,,,https://chicago.craigslist.org/chc/roo/d/chicago-room-available-now/7405165826.html,550
