index,area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
0,newyork,2021-11-27 20:19, (Astoria queens ),ROOM LOCATED IN A PRIME AREA IN ASTORIA,2,,https://newyork.craigslist.org/que/roo/d/astoria-room-located-in-prime-area-in/7413488613.html,950,2021-11-27 17h26m47s
1,newyork,2021-11-27 20:06, (21-38 31st st queens ),"Astoria, Room ( Temporary) 30 days rent",,,https://newyork.craigslist.org/que/roo/d/astoria-astoria-room-temporary-30-days/7413484929.html,1100,2021-11-27 17h26m47s
2,newyork,2021-11-27 19:43, (Pelham Bay Park bronx ),Room for rent in Northeast Bronx,1,,https://newyork.craigslist.org/brx/roo/d/bronx-room-for-rent-in-northeast-bronx/7413477901.html,900,2021-11-27 17h26m47s
3,newyork,2021-11-27 19:41, (White Plains westchester ),Private two room suite with full private bath,1,,https://newyork.craigslist.org/wch/roo/d/private-two-room-suite-with-full/7408139624.html,1300,2021-11-27 17h26m47s
4,newyork,2021-11-27 19:27, (Astoria queens ),Room for rent in large 2 berdroom ASTORIA,,,https://newyork.craigslist.org/que/roo/d/astoria-room-for-rent-in-large-berdroom/7408590831.html,1100,2021-11-27 17h26m47s
5,newyork,2021-11-27 19:21, (Brooklyn brooklyn ),East Williamsburg large Bedroom available,4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-east-williamsburg-large/7411835948.html,1100,2021-11-27 17h26m47s
6,newyork,2021-11-27 19:16," (Greenwich fairfield co, CT )","Greenwich, CT Downtown Room Available - $67/night",,,https://newyork.craigslist.org/fct/roo/d/greenwich-greenwich-ct-downtown-room/7408351808.html,67,2021-11-27 17h26m47s
7,newyork,2021-11-27 19:12, (springfield garden ny 11413 queens ),ROOM FOR RENT,1,,https://newyork.craigslist.org/que/roo/d/springfield-gardens-room-for-rent/7407703884.html,900,2021-11-27 17h26m47s
8,newyork,2021-11-27 19:08, (Battery Park),"Fully furnished room in 2 br apt, short term/long term",,800.0,https://newyork.craigslist.org/mnh/roo/d/fully-furnished-room-in-br-apt-short/7411017654.html,2000,2021-11-27 17h26m47s
9,newyork,2021-11-27 19:07, (mount vernon westchester ),cozy room for rent $850,3,,https://newyork.craigslist.org/wch/roo/d/mount-vernon-cozy-room-for-rent-850/7413457100.html,850,2021-11-27 17h26m47s
