area_string,posted,neighborhood,post title,number_bedrooms,sqft,URL,price,requested
newyork,2021-11-30 16:13, (Prospect Park South brooklyn ),"**Very Large, Sunny Furnished Room - All Utilities Included**",3,170.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-very-large-sunny-furnished/7413761200.html,1065,2021-11-30 21:23:09+0000
newyork,2021-11-30 16:12, (Harlem / Morningside),adam clayton powell jr. blvd & 113th str,3,200.0,https://newyork.craigslist.org/mnh/roo/d/new-york-adam-clayton-powell-jr-blvd/7413745137.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 16:08, (goshen ny westchester ),👀Roommate wanted👀,1,,https://newyork.craigslist.org/wch/roo/d/goshen-roommate-wanted/7414708860.html,500,2021-11-30 21:23:09+0000
newyork,2021-11-30 16:03, (Howard Beach Queens queens ),FREE ROOM FOR LIVE IN GIRLFRIEND,,,https://newyork.craigslist.org/que/roo/d/howard-beach-free-room-for-live-in/7414706113.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 16:02, (White Plains westchester ),White Plains room for rent close to train station/287,,,https://newyork.craigslist.org/wch/roo/d/west-harrison-white-plains-room-for/7414673335.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:55, (Midtown West),"Big,Sunny apart 1 bedrm in real 2 bedr all util included!!",2,,https://newyork.craigslist.org/mnh/roo/d/new-york-bigsunny-apart-bedrm-in-real/7414702013.html,1195,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:51, (North Williamsburg/Greenpoint brooklyn ),Fully Furnished/Spacious/Sunny/Greenroof/WasherDryer,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-fully-furnished-spacious-sunny/7414699912.html,2200,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:33," (DANBURY, CT fairfield co, CT )","$195/w FURNISHED ROOM, includes utilities, WiFi, No lease required",1,,https://newyork.craigslist.org/fct/roo/d/danbury-195-furnished-room-includes/7414690844.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:27, (Far Rockaway queens ),1 room in a 2 br apt,,,https://newyork.craigslist.org/que/roo/d/far-rockaway-room-in-2-br-apt/7411666630.html,850,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:13, (Bedford Stuyvesant brooklyn ),Very large single room in brownstone|Utilities included,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-very-large-single-room-in/7413409615.html,1300,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:13, (Bedford Park bronx ),"VERY LARGE, BRIGHT BEDROOMS AVAILABLE IN A GORGEOUS RESTORED TOWNHOUSE",,,https://newyork.craigslist.org/brx/roo/d/bronx-very-large-bright-bedrooms/7403981131.html,400,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:10, (Astoiria queens ),FULL SIZE ROOM IN ASTORIA $1000,2,,https://newyork.craigslist.org/que/roo/d/astoria-full-size-room-in-astoria-1000/7411413599.html,1000,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:10, (Williamsburg brooklyn ),"$1,200 / 3br - $1,200 / 3br - 1 Large Bdrm in Large 3 Bdrm Duplex Util",3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-br-br-large-bdrm-in-large-bdrm/7414678405.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:09," (Bridgeport fairfield co, CT )",Roommate wanted 2 private adjoining rooms for rent,,,https://newyork.craigslist.org/fct/roo/d/roommate-wanted-private-adjoining-rooms/7414678261.html,1000,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:09, (East Harlem),All UTILITIES included! Female-SPACIOUS ROOM,3,150.0,https://newyork.craigslist.org/mnh/roo/d/new-york-city-all-utilities-included/7414678159.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:09, (East Harlem),SPACIOUS private ROOM- ALL UTILITIES,3,150.0,https://newyork.craigslist.org/mnh/roo/d/new-york-city-spacious-private-room-all/7414677889.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:07, (Fort Greene/Clinton Hill brooklyn ),"The Exclusive Huge, Sunny Room w/Private Bath in Stunning Clinton Hill",3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-the-exclusive-huge-sunny-room/7412247926.html,1495,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:04, (Bushwick brooklyn ),LUXURY 4 BED 1.5 in PRIME BUSHWICK!!! NO BROKER FEE!!,4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-luxury-bed-15-in-prime/7414675054.html,850,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:02, (Lic/ sunnyside queens queens ),A room for rent no fees,,90.0,https://newyork.craigslist.org/que/roo/d/long-island-city-room-for-rent-no-fees/7412522234.html,850,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:02, (Crown Heights brooklyn ),room with private bath female preffered,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-with-private-bath-female/7414673648.html,1100,2021-11-30 21:23:09+0000
newyork,2021-11-30 15:00, (Bushwick brooklyn ),Room Available in Artist Loft (Live/Work) Dec. 1st / ASAP,2,1000.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-available-in-artist-loft/7414672517.html,1000,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:55, (Levittown long island ),Furnished room,,,https://newyork.craigslist.org/lgi/roo/d/hicksville-furnished-room/7412770239.html,750,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:54," (Wehawken, NJ new jersey )","$625 Private Room, All Utilities included, Minutes to Manhattan",1,,https://newyork.craigslist.org/jsy/roo/d/weehawken-625-private-room-all/7414669350.html,625,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:53, ( queens ),1 Private bedroom available- Serious Inquiries Only,,,https://newyork.craigslist.org/que/roo/d/new-york-private-bedroom-available/7414663943.html,450,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:53," (Stamford fairfield co, CT )",Stamford - North - Room Available - $57/night,,,https://newyork.craigslist.org/fct/roo/d/stamford-stamford-north-room-available/7408293385.html,57,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:47," (RIDGEWOOD, QUEENS queens )",apt/rooms for rent,,,https://newyork.craigslist.org/que/roo/d/ridgewood-apt-rooms-for-rent/7410512382.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:47, (Fresh Meadows/ Flushing/ St John U/ Queens Hospital/JFK/LGA queens ),Furnished Room on 1st floor for rent / 單房出租,,144.0,https://newyork.craigslist.org/que/roo/d/fresh-meadows-furnished-room-on-1st/7411931524.html,775,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:45, (Williamsburg brooklyn ),Bedroom in nice apt available now by Graham L,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-bedroom-in-nice-apt-available/7412503315.html,1300,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:43, (Midtown West),**Women's Only Residence**,1,,https://newyork.craigslist.org/mnh/roo/d/new-york-womens-only-residence/7414652973.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:42, (Clinton Hill brooklyn ),"Bright airy room in Clinton Hill 2br, large corner apartment! Feb 2022",,,https://newyork.craigslist.org/brk/roo/d/brooklyn-bright-airy-room-in-clinton/7414662586.html,1375,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:41, (Brooklyn brooklyn ),Large room for rent,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-room-for-rent/7413533435.html,900,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:36, (Financial District),SHARED LOFT! We need new roommate Jan 1st. We r all 23-31. 5000 sqft,6,5000.0,https://newyork.craigslist.org/mnh/roo/d/new-york-city-shared-loft-we-need-new/7414659181.html,2500,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:35, (Brooklyn brooklyn ),Room available,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-available/7414644698.html,1000,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:35, (Sunnyside queens ),Gay Friendly furnished bedroom and L-Room,1,330.0,https://newyork.craigslist.org/que/roo/d/sunnyside-gay-friendly-furnished/7412783448.html,1050,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:35, (Brooklyn brooklyn ),Room available,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-available/7414638994.html,1000,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:32, (Brooklyn brooklyn ),Room for Rent,2,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-for-rent/7414645717.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:29, (Long island city queens ),Need a female roommate to share  fully furnished 3br/2bth Available,,1200.0,https://newyork.craigslist.org/que/roo/d/sunnyside-need-female-roommate-to-share/7414655123.html,1100,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:29, (Long island city queens ),Need a female roommate to share  fully furnished 3br/2bth Available,,1200.0,https://newyork.craigslist.org/que/roo/d/sunnyside-need-female-roommate-to-share/7414654971.html,1100,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:22, (Sunnyside Historic District queens ),1 Bedroom Apt with Manhattan view,,650.0,https://newyork.craigslist.org/que/roo/d/woodside-bedroom-apt-with-manhattan-view/7412722122.html,1200,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:21, (Sunnyside historic district queens ),1 bedroom apt with Manhattan view,1,,https://newyork.craigslist.org/que/roo/d/woodside-bedroom-apt-with-manhattan-view/7410294535.html,1250,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:21, (St. George staten island ),1 room Around the block from Empire Outlets,,140.0,https://newyork.craigslist.org/stn/roo/d/staten-island-room-around-the-block/7414650343.html,975,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:19, (Brooklyn brooklyn ),Cozy Brooklyn Room in Van Buren St. Apt.,6,99.0,https://newyork.craigslist.org/brk/roo/d/brooklyn-cozy-brooklyn-room-in-van/7414649315.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:18, (Prospect Park South brooklyn ),Aleph Erasmus,3,,https://newyork.craigslist.org/brk/roo/d/brooklyn-aleph-erasmus/7414649053.html,1350,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:15, (Midtown East),... Sunny Private Room - Lux Blng - Roosevelt Island,4,120.0,https://newyork.craigslist.org/mnh/roo/d/new-york-sunny-private-room-lux-blng/7414647176.html,1400,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:15, (Gramercy),*_* Largee Unfurnished Room / Stuytown /,3,120.0,https://newyork.craigslist.org/mnh/roo/d/new-york-largee-unfurnished-room/7414647038.html,1600,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:15, ( brooklyn ),$440 2br - 115ft2 - - *_* Large Unfurnished Bedroom / Stuytown,,,https://newyork.craigslist.org/brk/roo/d/new-york-440-2br-115ft-large/7414646970.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:04, (Inwood / Wash Hts),1 room for rent in a 2 bedroom apartment,2,,https://newyork.craigslist.org/mnh/roo/d/new-york-room-for-rent-in-2-bedroom/7414637681.html,1180,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:04, (Bushwick brooklyn ),!!ONE Room Left!! MOVE IN READY!! LAUNDRY ON SITE!!,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-one-room-left-move-in-ready/7414627918.html,850,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:03, (Bronx / Laconia bronx ),Private Room Ling-Term Monthly Rental,,,https://newyork.craigslist.org/brx/roo/d/bronx-private-room-ling-term-monthly/7402417608.html,800,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:03, (Brooklyn brooklyn ),SUNNY ROOMS IN BEDSTUY - LAUNDRY IN UNIT - LARGE LIVING ROOM,4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-sunny-rooms-in-bedstuy-laundry/7414639739.html,875,2021-11-30 21:23:09+0000
newyork,2021-11-30 14:00, (Bedford Stuyvesant brooklyn ),!!MOVE IN READY!! PET FRIENDLY!!,1,,https://newyork.craigslist.org/brk/roo/d/brooklyn-move-in-ready-pet-friendly/7414632020.html,950,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:59, (jamaica estates queens ),Newly Renovated Private Room and Bathroom,,165.0,https://newyork.craigslist.org/que/roo/d/jamaica-newly-renovated-private-room/7414636524.html,980,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:55, (Bushwick brooklyn ),Room in Bushwick,4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-room-in-bushwick/7414635510.html,0,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:53, (Bushwick Stuyvesant Heights brooklyn ),"Duplex 4 rooms available, but READ the ad or I will not respond",4,,https://newyork.craigslist.org/brk/roo/d/brooklyn-duplex-rooms-available-but/7403010978.html,900,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:47, ( manhattan ),2br - 115ft2 - - *_* Large Unfurnished Bedroom / Stuytown,,,https://newyork.craigslist.org/mnh/roo/d/new-york-2br-115ft-large-unfurnished/7414630667.html,440,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:46, (West Tremont Avenue bronx ),LUXURY ROOM FOR RENT IN NEW BUILDING  BY OWNER,,180.0,https://newyork.craigslist.org/brx/roo/d/bronx-luxury-room-for-rent-in-new/7409770248.html,225,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:41, (W TREMONT AVENUE AND GRAND bronx ),BEAUTIFUL ROOM FOR RENT IN NEW BUILDING ( Post by Owner),,180.0,https://newyork.craigslist.org/brx/roo/d/bronx-beautiful-room-for-rent-in-new/7412409695.html,200,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:40, (Flushing brooklyn ),!!LARGE SPACIOUS APARTMENT!! MOVE IN READY!! !!,5,,https://newyork.craigslist.org/brk/roo/d/brooklyn-large-spacious-apartment-move/7414619848.html,800,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:33, (Brooklyn brooklyn ),Cute room in a hippie house… clean & private yet communal,,,https://newyork.craigslist.org/brk/roo/d/brooklyn-cute-room-in-hippie-house/7414610579.html,1400,2021-11-30 21:23:09+0000
newyork,2021-11-30 13:33, (Jamaica queens ),Habitacion en basement amueblada,,,https://newyork.craigslist.org/que/roo/d/jamaica-habitacion-en-basement-amueblada/7405374162.html,850,2021-11-30 21:23:09+0000
